"plot","datetime","Ta_200","Ta_200_min","Ta_200_max","rH_200","rH_200_min","rH_200_max","SWDR_200","P_RT_NRT"
"BALE008","2018-01-10 04:00:00",5.1,5.1,5.1,90.6,90.6,90.6,0,0
"BALE008","2018-01-10 05:00:00",5.26,5.26,5.26,90.9,90.9,90.9,0,0
"BALE008","2018-01-10 06:00:00",4.76,4.76,4.76,92.1,92.1,92.1,0,0
"BALE008","2018-01-10 07:00:00",4.35,4.35,4.35,91.7,91.7,91.7,0.008,0
"BALE008","2018-01-10 08:00:00",5.97,5.97,5.97,95.3,95.3,95.3,0.081,0
"BALE008","2018-01-10 09:00:00",6.59,6.59,6.59,84.4,84.4,84.4,0.189,0
"BALE008","2018-01-10 10:00:00",9.92,9.92,9.92,62.32,62.32,62.32,0.521,0
"BALE008","2018-01-10 11:00:00",11.51,11.51,11.51,52.81,52.81,52.81,0.683,0
"BALE008","2018-01-10 12:00:00",11.89,11.89,11.89,63.29,63.29,63.29,0.481,0
"BALE008","2018-01-10 13:00:00",10.06,10.06,10.06,58.86,58.86,58.86,0.353,0
"BALE008","2018-01-10 14:00:00",11.21,11.21,11.21,60.57,60.57,60.57,0.465,0
"BALE008","2018-01-10 15:00:00",10,10,10,67.19,67.19,67.19,0.177,0
"BALE008","2018-01-10 16:00:00",9.97,9.97,9.97,64.58,64.58,64.58,0.192,0
"BALE008","2018-01-10 17:00:00",11.17,11.17,11.17,50.83,50.83,50.83,0.218,0
"BALE008","2018-01-10 18:00:00",11.37,11.37,11.37,66.01,66.01,66.01,0.11,0
"BALE008","2018-01-10 19:00:00",8.63,8.63,8.63,75.19,75.19,75.19,0.006,0
"BALE008","2018-01-10 20:00:00",6.73,6.73,6.73,79.17,79.17,79.17,0,0
"BALE008","2018-01-10 21:00:00",6.42,6.42,6.42,87.4,87.4,87.4,0,0
"BALE008","2018-01-10 22:00:00",4.39,4.39,4.39,90.9,90.9,90.9,0,0
"BALE008","2018-01-10 23:00:00",4.69,4.69,4.69,89.7,89.7,89.7,0,0
"BALE008","2018-01-11 00:00:00",4.85,4.85,4.85,89.5,89.5,89.5,0,0
"BALE008","2018-01-11 01:00:00",5.25,5.25,5.25,92.9,92.9,92.9,0,0
"BALE008","2018-01-11 02:00:00",3.4,3.4,3.4,90.8,90.8,90.8,0,0
"BALE008","2018-01-11 03:00:00",2.15,2.15,2.15,94.1,94.1,94.1,0,0
"BALE008","2018-01-11 04:00:00",1.56,1.56,1.56,95.3,95.3,95.3,0,0
"BALE008","2018-01-11 05:00:00",1.89,1.89,1.89,94.7,94.7,94.7,0,0
"BALE008","2018-01-11 06:00:00",1.88,1.88,1.88,96.7,96.7,96.7,0,0
"BALE008","2018-01-11 07:00:00",1.85,1.85,1.85,95.7,95.7,95.7,0.007,0
"BALE008","2018-01-11 08:00:00",3.79,3.79,3.79,77.76,77.76,77.76,0.147,0
"BALE008","2018-01-11 09:00:00",9.75,9.75,9.75,67.61,67.61,67.61,0.372,0
"BALE008","2018-01-11 10:00:00",11.37,11.37,11.37,56.99,56.99,56.99,0.524,0
"BALE008","2018-01-11 11:00:00",12.36,12.36,12.36,47.65,47.65,47.65,0.71,0
"BALE008","2018-01-11 12:00:00",12.01,12.01,12.01,67.94,67.94,67.94,0.52,0
"BALE008","2018-01-11 13:00:00",11.64,11.64,11.64,62.91,62.91,62.91,0.545,0
